as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_type,procurement_category,procurement_method,product_line,wb_contract_number,major_sector,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,total_contract_amount_usd,borrower_contract_reference_number,serialid
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Croatia,HR,P066665,National Environmental Action Plan Institutional Development,Implementation Activity,Consultant Services,Single Source Selection,Institutional Development Fund,1207852,"Public Administration, Law, and Justice",CONSULTING SERVICES VIKTOR SIMONCIC,2000-06-12,VIKTOR SIMONCIC,Slovenia,SI,41113.00,CONSULTING SERVICES,6733
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Russian Federation,RU,P035761,Community Social Infrastructure Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1200840,"Water, sanitation and flood protection",CHEREPANOVO HOSPITAL: CONSTRUCTION AND ERECTION WORKS FOR RE,2000-05-24,SMELT INTERNATIONAL,Slovenia,SI,1066381.00,N/111-2B/00,16010
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Russian Federation,RU,P035761,Community Social Infrastructure Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1200840,"Public Administration, Law, and Justice",CHEREPANOVO HOSPITAL: CONSTRUCTION AND ERECTION WORKS FOR RE,2000-05-24,SMELT INTERNATIONAL,Slovenia,SI,484719.00,N/111-2B/00,16012
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Russian Federation,RU,P035761,Community Social Infrastructure Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1200840,Education,CHEREPANOVO HOSPITAL: CONSTRUCTION AND ERECTION WORKS FOR RE,2000-05-24,SMELT INTERNATIONAL,Slovenia,SI,1551099.00,N/111-2B/00,16014
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Russian Federation,RU,P035761,Community Social Infrastructure Project,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1200840,Health and other social services,CHEREPANOVO HOSPITAL: CONSTRUCTION AND ERECTION WORKS FOR RE,2000-05-24,SMELT INTERNATIONAL,Slovenia,SI,1744987.00,N/111-2B/00,16015
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P065961,State Asset Management IDF Grant,Implementation Activity,Consultant Services,Single Source Selection,Institutional Development Fund,1123247,Finance,PRIVATIZATION ADVISORY SERVICES,2000-02-09,DE JUAN FRUTIS Y ASOCIADOS,Spain,ES,49950.00,UNKNOWN,16987
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P065961,State Asset Management IDF Grant,Implementation Activity,Consultant Services,Single Source Selection,Institutional Development Fund,1123247,"Public Administration, Law, and Justice",PRIVATIZATION ADVISORY SERVICES,2000-02-09,DE JUAN FRUTIS Y ASOCIADOS,Spain,ES,49950.00,UNKNOWN,16988
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Services, Operational Admin.",Civil Works,International Competitive Bidding,IBRD/IDA,1202972,"Public Administration, Law, and Justice",PRODUCTION OF DIGITAL ORTHOPHOTO MAPS,2000-04-21,"IGN FRANCE INTERNATIONAL,AND GEODETSKI ZAVOD SLOVENIJE D.D.",France,FR,522147.00,SMA_1.1.D1_ICB1,16989
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Investment Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1207979,"Public Administration, Law, and Justice",SMA 3.1E APARTMENT REGISTRATION CONSULTING CONTRACT,2000-07-13,"IGN FRANCE INTERNATIONAL,AND GEODETSKI ZAVOD SLOVENIJE D.D.",France,FR,565393.00,SMA 3.1E CONSULTING CONTRACT,16990
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Investment Activity,Consultant Services,Least Cost Selection,IBRD/IDA,1123927,"Public Administration, Law, and Justice",AUDIT OF THE LOAN ACCOUNTS,1999-12-23,DELOITTE AND TOUCHE D.O.O.,Slovenia,SI,18118.00,PCO_8.1E_LCS,16991
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P008853,Environment Project,Implementation Activity,Consultant Services,Single Source Selection,IBRD/IDA,1207318,Energy and mining,CONSULTING SERVICES,2000-02-18,BUCHNER AND ASSOCIATES LTD,Canada,CA,134063.00,2511-00-31004,16992
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Services, Operational Admin.",Civil Works,International Competitive Bidding,IBRD/IDA,1203003,"Public Administration, Law, and Justice",BUILDING CADASTRE,2000-04-21,"GEODETSKI ZAVOD CELJE, D.O.O OF CELJE",Slovenia,SI,242249.00,SMA_1.1D3_ICB1,16993
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P008853,Environment Project,Implementation Activity,Consultant Services,Single Source Selection,IBRD/IDA,1207318,"Public Administration, Law, and Justice",CONSULTING SERVICES,2000-02-18,BUCHNER AND ASSOCIATES LTD,Canada,CA,20032.00,2511-00-31004,16994
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Services, Operational Admin.",Civil Works,International Competitive Bidding,IBRD/IDA,1203009,"Public Administration, Law, and Justice",DIGITIATION LAND CADASTRAL MAPS,2000-05-03,GEODETSKI ZAVOD SLOVENIJE D.D.IGEA D.O.O.,Slovenia,SI,1480165.00,SMA_1.1D2_ICB1,16995
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1210615,"Public Administration, Law, and Justice","MAFF 4.1A ICB, MAP INTERPRETATION FOR LAND USE",2000-06-30,IGN FRANCE INTERNATIONAL AND GEODETSK ZAVOD SLOVENJE DD,Slovenia,SI,439959.00,MAFF 4.1 ICB 1,16996
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P045483,Electric Power Reconstruction 2 Project,"Equipment, Telecommunications",Goods,International Competitive Bidding,IBRD/IDA,1208286,Energy and mining,TELECOMMUNICATION AND SECURITY SYSTEMS AT HPP TREBINJE,2000-11-21,GORENJE TRGOVINA,Slovenia,SI,409500.00,SEPRP/P2/MB-NB/G-10/15 (LOT E),22495
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P045483,Electric Power Reconstruction 2 Project,"Equipment, Mechanical",Goods,International Competitive Bidding,IBRD/IDA,1210432,Energy and mining,WATER LEVEL AND FLOW MEASUREMENT EQUIPMENT FOR HTTP/HPPB?,2001-03-14,TELEM,Slovenia,SI,81601.00,SEPRP/P2/MB-NB/G-09/14-D,22525
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P045483,Electric Power Reconstruction 2 Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1210404,Energy and mining,AUXILIARY SERVICE TRANSFORMERS AND POWER TRANSFORMERS THERMA,2001-03-14,GORENJE GTI,Slovenia,SI,66599.00,SEPRP/P2/MB-NB/G-09/14-C,22526
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Croatia,HR,P008329,HIGHWAY SECTOR,"Equipment, Transportation",Goods,International Competitive Bidding,IBRD/IDA,1203816,Transportation,"PROCUREMENT OF AUTOMIATIC TRAFFIC COUNTER, ICB, NOV. 1999",2000-09-05,CESTEL,Slovenia,SI,154782.00,CONTRACT NO.345-210-10939/2000,26579
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Croatia,HR,P008329,HIGHWAY SECTOR,"Equipment, Transportation",Goods,International Competitive Bidding,IBRD/IDA,1203816,"Public Administration, Law, and Justice","PROCUREMENT OF AUTOMIATIC TRAFFIC COUNTER, ICB, NOV. 1999",2000-09-05,CESTEL,Slovenia,SI,15308.00,CONTRACT NO.345-210-10939/2000,26580
2013-07-21,2001,LATIN AMERICA AND CARIBBEAN,Dominican Republic,DO,P063201,DO Hurricane Georges Emergency Recovery,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1214310,"Public Administration, Law, and Justice",SUPPLIER-REHAB. HIDROELECTRICA DE JIMENOA (C#1209459),2001-02-08,ENERGO CONTROL POWER PLANTS ENGINEERING,Slovenia,SI,243339.00,BIRF-BM-CH-01 //,26918
2013-07-21,2001,LATIN AMERICA AND CARIBBEAN,Dominican Republic,DO,P063201,DO Hurricane Georges Emergency Recovery,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1214310,"Agriculture, fishing, and forestry",SUPPLIER-REHAB. HIDROELECTRICA DE JIMENOA (C#1209459),2001-02-08,ENERGO CONTROL POWER PLANTS ENGINEERING,Slovenia,SI,382390.00,BIRF-BM-CH-01 //,26923
2013-07-21,2001,LATIN AMERICA AND CARIBBEAN,Dominican Republic,DO,P063201,DO Hurricane Georges Emergency Recovery,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1214310,Energy and mining,SUPPLIER-REHAB. HIDROELECTRICA DE JIMENOA (C#1209459),2001-02-08,ENERGO CONTROL POWER PLANTS ENGINEERING,Slovenia,SI,243339.00,BIRF-BM-CH-01 //,26926
2013-07-21,2001,LATIN AMERICA AND CARIBBEAN,Dominican Republic,DO,P063201,DO Hurricane Georges Emergency Recovery,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1214310,Transportation,SUPPLIER-REHAB. HIDROELECTRICA DE JIMENOA (C#1209459),2001-02-08,ENERGO CONTROL POWER PLANTS ENGINEERING,Slovenia,SI,695254.00,BIRF-BM-CH-01 //,26929
2013-07-21,2001,LATIN AMERICA AND CARIBBEAN,Dominican Republic,DO,P063201,DO Hurricane Georges Emergency Recovery,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1214310,Industry and trade,SUPPLIER-REHAB. HIDROELECTRICA DE JIMENOA (C#1209459),2001-02-08,ENERGO CONTROL POWER PLANTS ENGINEERING,Slovenia,SI,1911949.00,BIRF-BM-CH-01 //,26931
2013-07-21,2001,MIDDLE EAST AND NORTH AFRICA,"Egypt, Arab Republic of",EG,P041410,Pumping Stations Rehabilitation III,"Equipment, Water Supply and Sewerage",Goods,Direct Contracting,IBRD/IDA,1213462,"Public Administration, Law, and Justice",SPARE PARTS FOR 6 PUMPING STATIONS,2001-05-13,LITOSTROJ,Slovenia,SI,102501.00,PO 81/79,27183
2013-07-21,2001,MIDDLE EAST AND NORTH AFRICA,"Egypt, Arab Republic of",EG,P041410,Pumping Stations Rehabilitation III,"Equipment, Water Supply and Sewerage",Goods,Direct Contracting,IBRD/IDA,1213462,"Agriculture, fishing, and forestry",SPARE PARTS FOR 6 PUMPING STATIONS,2001-05-13,LITOSTROJ,Slovenia,SI,922512.00,PO 81/79,27184
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216115,Health and other social services,STANDARDIZATION OF CLINICAL GUIDELINES AND DEVELOPMENT OF KE,2001-07-01,GVG,Germany,DE,78076.00,7005 SLO,36347
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Implementation Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1216115,"Public Administration, Law, and Justice",STANDARDIZATION OF CLINICAL GUIDELINES AND DEVELOPMENT OF KE,2001-07-01,GVG,Germany,DE,63881.00,7005 SLO,36348
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Tender Documents, Procurement Assistance",Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1212461,Health and other social services,PROJECT MANAGEMENT SUPPORTING SERVICES AND PROFESSIONAL ADVI,2001-02-19,IPMIT - INSTITUT ZA PROJEKTNI MANAGEMENT IN INFORMACIJSKO TE,Slovenia,SI,489898.00,IPMIT- PROJ MANAGMNT SUPPORTING,36349
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,"Tender Documents, Procurement Assistance",Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1212461,"Public Administration, Law, and Justice",PROJECT MANAGEMENT SUPPORTING SERVICES AND PROFESSIONAL ADVI,2001-02-19,IPMIT - INSTITUT ZA PROJEKTNI MANAGEMENT IN INFORMACIJSKO TE,Slovenia,SI,400826.00,IPMIT- PROJ MANAGMNT SUPPORTING,36350
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Services, Operational Admin.",Civil Works,International Competitive Bidding,IBRD/IDA,1208878,"Public Administration, Law, and Justice",DIGITIZATION OF CADASTRAL MAPS,2000-11-02,LJUBLJANSKI URBANISTICNI ZAVOD D.D. & GEODETSKI ZAVOD SLOVEN,Slovenia,SI,1330284.00,SMA 1.1D2 ICB2,36351
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Investment Activity,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1207975,"Public Administration, Law, and Justice",NRSC CONTRACT FOR CONSULTING SERVICES,2000-10-11,NATIONAL REMOTE SENSING CENTRE LIMITED,United Kingdom,GB,1118953.00,CONSULTING SERVICES,36352
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1212453,Health and other social services,CONTRACTION OF A HEALTH SECTOR SPECIALIST,2001-04-05,INDIVIDUAL CONSULTANT,Netherlands,NL,138036.00,SENS CONSULT - HEALTH SECTOR SPE,36353
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Policy and Strategy,Consultant Services,Quality Based Selection,IBRD/IDA,1211890,"Public Administration, Law, and Justice",CONTRACTION OF HEALTH INFORMATICS SPEC. BY MIN. OF HEALTH,2001-02-01,CERTREX GROUP LTD.,United States,US,109238.00,CERTREX GROUP - HEALTH INFORMATI,36354
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1209606,"Public Administration, Law, and Justice",PRODUCTION OF DIGITAL ORTHOPHOTO MAPS,2000-11-02,IGN AND GEODETSKI ZAVOD SLOVENIJE D.D. OF LJUBLJANA,Slovenia,SI,191814.00,SAM 1.1D1-ICB2,36355
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P055304,Real Estate Registration Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1209492,"Public Administration, Law, and Justice",BUILDING CADASTRE,2000-11-02,LJUBLJANSKI URBANISTICNI ZAVOD D.D.,Slovenia,SI,390556.00,SMA 1.1 D3-ICB2,36356
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1212453,"Public Administration, Law, and Justice",CONTRACTION OF A HEALTH SECTOR SPECIALIST,2001-04-05,INDIVIDUAL CONSULTANT,Netherlands,NL,112938.00,SENS CONSULT - HEALTH SECTOR SPE,36357
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Policy and Strategy,Consultant Services,Quality Based Selection,IBRD/IDA,1211890,Health and other social services,CONTRACTION OF HEALTH INFORMATICS SPEC. BY MIN. OF HEALTH,2001-02-01,CERTREX GROUP LTD.,United States,US,133513.00,CERTREX GROUP - HEALTH INFORMATI,36358
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Project Management,Consultant Services,Individual,IBRD/IDA,1212452,Health and other social services,CONTRACTION OF A PROJECT MANAGER,2000-10-06,INDIVIDUAL CONSULTANT,Slovenia,SI,121759.00,NOEMA COOPERATING - PROJECT MANA,36359
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Slovenia,SI,P051418,Health Sector Management Project,Project Management,Consultant Services,Individual,IBRD/IDA,1212452,"Public Administration, Law, and Justice",CONTRACTION OF A PROJECT MANAGER,2000-10-06,INDIVIDUAL CONSULTANT,Slovenia,SI,99621.00,NOEMA COOPERATING - PROJECT MANA,36360
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Ukraine,UA,P044851,Export Development Project,Unidentified Goods Type,Goods,International Shopping,IBRD/IDA,1203155,Industry and trade,SPECIAL FURNITURE FOR BANK OPERATORS AND TELLERS AREAS,2000-07-20,ROS-NG D.O.O,Slovenia,SI,360203.00,IS-EQ-08/2000,38145
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Ukraine,UA,P044851,Export Development Project,Unidentified Goods Type,Goods,International Shopping,IBRD/IDA,1203155,Finance,SPECIAL FURNITURE FOR BANK OPERATORS AND TELLERS AREAS,2000-07-20,ROS-NG D.O.O,Slovenia,SI,15008.00,IS-EQ-08/2000,38146
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Uzbekistan,UZ,P009125,Health Project,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1214705,Health and other social services,LOT 1: ITEMS 5.1; 5.2; 40,2001-06-08,KRKA,Slovenia,SI,80769.00,507-3/01 IM-12,38372
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Uzbekistan,UZ,P009125,Health Project,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1214552,Health and other social services,"ITEMS 30($32,412), 38.1(9,000), 43.1(56,250), 43.2(8,580)",2001-06-11,LEK PHARMACEUTICAL AND CHEMICAL COMPANY D.D.,Slovenia,SI,94555.00,507-3/01 IM-16,38378
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Uzbekistan,UZ,P009125,Health Project,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1214705,"Public Administration, Law, and Justice",LOT 1: ITEMS 5.1; 5.2; 40,2001-06-08,KRKA,Slovenia,SI,9983.00,507-3/01 IM-12,38379
2013-07-21,2001,EUROPE AND CENTRAL ASIA,Uzbekistan,UZ,P009125,Health Project,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1214552,"Public Administration, Law, and Justice","ITEMS 30($32,412), 38.1(9,000), 43.1(56,250), 43.2(8,580)",2001-06-11,LEK PHARMACEUTICAL AND CHEMICAL COMPANY D.D.,Slovenia,SI,11687.00,507-3/01 IM-16,38380
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P045483,Electric Power Reconstruction 2 Project,"Equipment, Electrical",Goods,International Shopping,IBRD/IDA,1213217,Energy and mining,FLY-ASH TRANSPORTATION AIR COMPRESSORS (LOT D),2001-07-27,DIVECO ENGINEERING,Slovenia,SI,49386.00,SEPRP/P2/MB-NB/G-02D,41092
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P070079,Trade & Transport Facilitation in South East Europe Project,"Works, Infrastructure",Civil Works,International Competitive Bidding,IBRD/IDA,1223094,"Public Administration, Law, and Justice",CONSTRUCTION OF THE BORDER CROSSING IZACIC,2002-07-11,SPLOSNO GRADBENO PODJETJE SCT DD,Slovenia,SI,5356431.00,BA-TTFSE-ICB-05-CW-01-BOS,41362
2013-07-21,2002,EUROPE AND CENTRAL ASIA,Croatia,HR,P008335,Farmer Support Services Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1214173,"Public Administration, Law, and Justice",LABORATORY EQUIPMENT,2001-08-01,LABENA D.O.O.,Slovenia,SI,2811.00,LOT 4,45735
